rank,content_id,priority_score,decline_probability,business_value_score,archetype,recommended_action,reason_codes,content_type,main_intent,days_since_last_update,impressions_90d,clicks_90d,ctr,engagement_rate
101,content_aef354fe0cbd,0.5063409297682402,0.722929494990464,0.0009676109163847772,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,124,4,0,0.0,16.67
102,content_547a2f6dee80,0.5058709024099051,0.7226697375943407,6.9536462216590624e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,13,0,0.0,0.0
103,content_b7553fdf4ef1,0.5056931265297774,0.7223247876106976,0.00021925067429709398,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,46,0,0.0,0.0
104,content_56b41848af2d,0.5056764675069538,0.7221416194756768,0.0005911129132670493,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,21,0,0.0,0.0
105,content_e5705e13fa26,0.5054583582589985,0.7220754219171733,1.854305659109083e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,33,0,0.0,0.0
106,content_d635a5c1b4a6,0.5054294397078197,0.722038828246854,7.533116740130651e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,98,14,0,0.0,0.0
107,content_5a2c8f6bafa5,0.5054257218850516,0.722030536937376,1.4486762961789714e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,26,0,0.0,0.0
108,content_323d0bdf7077,0.5054049378942531,0.7212768133254758,0.001703895221400356,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,transactional,106,2018,1,0.05,0.0
109,content_0cce6a2fb242,0.5051102880259816,0.7215846356843547,3.4768231108295312e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,7,0,0.0,0.0
110,content_b84cb2300d9d,0.5050835125656802,0.7212033985537376,0.0008037785935461223,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,transactional,106,388,0,0.0,0.0
111,content_3450b1d3ade7,0.5048489404868657,0.7212075568894276,1.216888088790336e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,22,0,0.0,0.0
112,content_1b2599d94e29,0.5046900724098711,0.7209020352785132,0.00019549238303975884,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,5,0,0.0,0.0
113,content_3a470a752d01,0.5046643764188288,0.7209458806911525,7.533116740130651e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,transactional,104,14,0,0.0,0.0
114,content_5a639aa6d642,0.5041760219436418,0.7202512115749803,5.794705184715885e-07,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,2,0,0.0,0.0
115,content_3360183fec42,0.5039582089217255,0.719768511703225,0.0004008357648935347,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,26,0,0.0,33.33
116,content_25ff6043653f,0.5037505560310075,0.7193865921995631,0.0005998049710441232,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,36,0,0.0,0.0
117,content_62541a94734a,0.5036000783096048,0.7193453975385772,0.00019433344200281568,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,3,0,0.0,0.0
118,content_c9fff7c4660c,0.5033052353354962,0.7187510795626418,0.0005982654721565651,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,commercial,104,110,1,0.91,0.0
119,content_3b53d042f230,0.5028918846627922,0.7182501582234786,0.00038924635452410294,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,98,6,0,0.0,0.0
120,content_b35a7acdc3a8,0.5026923074711186,0.7180485820550253,0.00019433344200281568,high_risk_ctr_opportunity,Review title and snippet opportunity,high_decline_risk | below_typical_ctr,keyword article,informational,20,3,0,0.0,0.0
121,content_a8c40fb2c87a,0.5023741516158786,0.7175940736903967,0.00019433344200281568,high_risk_ctr_opportunity,Review title and snippet opportunity,high_decline_risk | below_typical_ctr,keyword article,informational,20,3,0,0.0,0.0
122,content_9935b649795f,0.5023405361099317,0.7176206452421254,2.02814681465056e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,36,0,0.0,0.0
123,content_c52c90c985dd,0.5021674713807803,0.7172157787953346,0.0003880874134871598,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,98,4,0,0.0,0.0
124,content_837c4ebfd762,0.5020236414770863,0.7171751406145045,3.4768231108295312e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,7,0,0.0,0.0
125,content_3408f65286e4,0.5018987048449628,0.7169820073855038,3.7665583700653254e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,66,0,0.0,0.0
126,content_b2c531fd32f1,0.5017914560390015,0.7167616514377153,0.00019433344200281568,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,3,0,0.0,0.0
127,content_80b6497c3f9d,0.5017876436737357,0.7168392426179717,5.794705184715885e-07,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,98,2,0,0.0,0.0
128,content_34c0c51255aa,0.5015327774844273,0.7155979498446339,0.0020473753106121802,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,89,1534,0,0.0,0.0
129,content_20d5286b9afa,0.5014594051054937,0.7162840644826726,0.00020186655874294631,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,16,0,0.0,0.0
130,content_e0022c57c47e,0.5012751303424158,0.716107080716086,5.794705184715885e-07,high_risk_ctr_opportunity,Review title and snippet opportunity,high_decline_risk | below_typical_ctr,keyword article,informational,20,2,0,0.0,0.0
131,content_29ca977d3a23,0.5009048570455958,0.7155726552843119,1.3327821924846536e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,92,24,0,0.0,0.0
132,content_ef77ee9f9266,0.5007111555543157,0.7152934554231183,1.912252710956242e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,commercial,98,34,0,0.0,0.0
